action_type,created_at,content_id
purchased,2025-06-28T04:20:56,9dab9bd2-db17-488d-9695-dc999b563961
clicked,2025-06-04T17:45:38,ad9c869d-e57e-402c-a7b1-c2842db7f525
purchased,2025-06-09T10:54:15,3ad1efbf-caf4-4c68-8a31-2d60fb6fe96c
clicked,2025-06-29T17:00:30,780df963-3fc4-4590-bded-1d72efac319c
purchased,2025-06-07T12:53:57,0cb29e9c-b659-4ff9-a7ae-56a665ee3059
clicked,2025-06-30T20:43:40,d8d86c42-142a-4135-aed8-15937f038d55
clicked,2025-06-28T06:48:05,34ef65e1-bb6e-4c10-a977-db7fbe70574c
purchased,2025-06-27T08:34:04,e77be938-d95c-419b-a002-555792aec3ab
purchased,2025-06-13T23:52:47,63502251-8aac-4e55-a91f-5b8598a30f23
purchased,2025-06-15T20:17:35,80378403-0750-479b-b42f-f30e64b70194
purchased,2025-06-23T00:12:56,5e4ff7e0-464b-490d-bb5b-d3bd30147ca2
purchased,2025-06-12T16:21:31,1a0ce312-2182-465e-9d42-dd38ebf8410e
purchased,2025-06-05T06:23:05,3999ddec-c498-4112-a58e-f4040b096e9d
purchased,2025-06-27T10:06:59,5e52a97d-181a-454e-9221-8a5db82e11c7
clicked,2025-06-28T12:30:45,12a4955e-b502-478e-8b3c-3bbc53cc5dbe
clicked,2025-06-01T12:54:25,1348de82-47e3-41d3-bc26-c3d0a303a2c8
purchased,2025-06-17T13:21:50,ec2e493a-77c8-44c9-b558-2b2be62ad16f
purchased,2025-06-20T18:41:15,aa98317f-8520-49a9-b47a-991ba428fa14
clicked,2025-06-28T08:40:58,24aeb714-cf16-4186-a838-9e8c01602dc6
purchased,2025-06-04T07:03:19,cdfe2e67-d526-4d44-9cf2-e64afb8a2926
purchased,2025-06-26T10:05:52,0b53ed26-3c1c-47d9-aac2-e3bcf643027b
purchased,2025-06-05T16:39:10,4724a8dd-7ba9-4d0a-9d8f-67b6f2a28eed
purchased,2025-06-29T23:22:53,98c27c31-5fab-4214-9d29-7a35a8df44e9
purchased,2025-06-29T04:25:12,1be23e1d-239b-4bbf-8a91-4342e195de74
clicked,2025-06-20T16:31:02,d4477276-30d5-4511-8d5b-f1048a683c27
purchased,2025-06-09T10:48:17,3a76aaf9-95cf-4c8a-8339-354211d26a14
clicked,2025-06-14T20:31:36,5d543098-f947-4ef6-ba37-9c4cb0c45636
clicked,2025-06-01T23:55:34,80001204-c7d9-4a51-808a-8c7604437fd1
purchased,2025-06-27T18:38:16,d81a0883-9bf1-488d-87d8-cd2f91e63a29
clicked,2025-06-21T20:53:30,77c1d0ae-ad5b-486f-8dc8-19c52ca3db9d
clicked,2025-06-04T07:03:27,8bfaffd2-f494-45bf-b78a-d825f57d5c2e
purchased,2025-06-02T21:06:11,7ed0cb3a-94e1-423d-b089-60ae4f7232a8
clicked,2025-06-30T01:54:23,1b5fb576-fef9-43de-8e50-b45d7e299482
purchased,2025-06-20T03:31:51,d779a5cb-8e0f-4d30-ac7d-34eb2ba10c73
clicked,2025-06-26T20:26:25,ae42c543-a997-44be-ab2b-d5a850dc026c
clicked,2025-06-09T16:47:39,b76d35d9-cc9c-42f7-88ae-6ba74502b286
clicked,2025-06-22T04:02:51,c761bb88-7152-4f33-b472-c1babc427169
purchased,2025-06-23T04:08:36,4e09f646-03e0-44df-a79a-43e0c1a48534
clicked,2025-06-17T01:53:03,85e3e30e-1d46-4a94-b3c9-6ddff0c9767e
clicked,2025-06-08T23:28:54,9824ab9c-ba43-4807-87d1-2e1ca883f115
purchased,2025-06-12T17:35:55,21e75ef1-fb30-48c6-9ab9-37552150167c
purchased,2025-06-13T20:01:12,3bf321a1-d59d-4c24-b514-84116f6a8e94
clicked,2025-06-14T14:12:38,4f7a70d8-c918-45c4-945e-aa74dfda6259
clicked,2025-06-24T17:49:47,10a47369-45ab-40f0-be38-f35265638404
clicked,2025-06-25T07:21:06,c8ea2e0c-50fa-4d79-adce-f109d7fc0d0f
clicked,2025-06-19T06:07:56,d3139696-d6bd-4304-a443-e868c68649a7
purchased,2025-06-24T17:37:44,351551c5-36a4-46bc-a494-30700fe2e187
clicked,2025-06-17T02:18:38,1b3ac46a-819b-4864-9412-c2ed146631b2
clicked,2025-06-05T16:22:48,ac65b59d-16c1-480b-92e5-013c7dcc6a44
purchased,2025-06-18T13:25:59,e2f7f9ce-da49-4524-9141-4416b088d320
clicked,2025-06-05T18:58:32,10e6e32b-601c-455f-b6d0-20a6cf4f73ee
purchased,2025-06-24T01:35:08,039cbe0f-b224-4b3a-bef1-e1ad20b361d2
clicked,2025-06-14T11:25:27,1ea1c9ee-80f8-4feb-8846-8bc36eb45402
purchased,2025-06-29T22:11:09,58ab697e-15a4-47bc-875a-a92e6369cc5a
clicked,2025-06-29T12:49:42,ca95085e-4b39-4de6-a556-3f6c76569114
clicked,2025-06-07T21:40:04,9a7643cf-bda2-4238-9e1a-6d20ce78f614
purchased,2025-06-30T23:42:14,ab4db0a9-f413-4389-8f3a-b5011ecf46b1
clicked,2025-06-01T18:19:05,a6f84b6e-3dd4-424c-afe5-c4c100bd4afe
